2026-04-24 19:40:34,725 [INFO] Detection started. Press 'q' to quit.
2026-04-24 19:40:45,433 [INFO] Frame 00246 | Face @ (255,259) size=205x205 | Eyes detected: 0
2026-04-24 19:40:45,491 [INFO] Frame 00247 | Face @ (253,258) size=208x208 | Eyes detected: 0
2026-04-24 19:40:45,548 [INFO] Frame 00248 | Face @ (253,257) size=208x208 | Eyes detected: 0
2026-04-24 19:40:45,584 [INFO] Frame 00249 | Face @ (254,259) size=206x206 | Eyes detected: 0
2026-04-24 19:40:45,624 [INFO] Frame 00250 | Face @ (254,259) size=206x206 | Eyes detected: 0
2026-04-24 19:40:45,674 [INFO] Frame 00251 | Face @ (254,257) size=208x208 | Eyes detected: 0
2026-04-24 19:40:45,707 [INFO] Frame 00252 | Face @ (254,257) size=208x208 | Eyes detected: 0
2026-04-24 19:40:45,743 [INFO] Frame 00253 | Face @ (255,257) size=206x206 | Eyes detected: 0
2026-04-24 19:40:45,782 [INFO] Frame 00254 | Face @ (255,258) size=206x206 | Eyes detected: 0
2026-04-24 19:40:45,817 [INFO] Frame 00255 | Face @ (255,258) size=206x206 | Eyes detected: 0
2026-04-24 19:40:45,849 [INFO] Frame 00256 | Face @ (255,259) size=204x204 | Eyes detected: 0
2026-04-24 19:40:45,890 [INFO] Frame 00257 | Face @ (255,259) size=204x204 | Eyes detected: 0
2026-04-24 19:40:45,926 [INFO] Frame 00258 | Face @ (255,259) size=204x204 | Eyes detected: 0
2026-04-24 19:40:45,958 [INFO] Frame 00259 | Face @ (252,257) size=210x210 | Eyes detected: 0
2026-04-24 19:40:46,001 [INFO] Frame 00260 | Face @ (252,257) size=210x210 | Eyes detected: 0
2026-04-24 19:40:46,032 [INFO] Frame 00261 | Face @ (253,256) size=207x207 | Eyes detected: 0
2026-04-24 19:40:46,068 [INFO] Frame 00262 | Face @ (253,256) size=207x207 | Eyes detected: 0
2026-04-24 19:40:46,110 [INFO] Frame 00263 | Face @ (256,259) size=204x204 | Eyes detected: 0
2026-04-24 19:40:46,163 [INFO] Frame 00264 | Face @ (256,259) size=204x204 | Eyes detected: 0
2026-04-24 19:40:46,190 [INFO] Frame 00265 | Face @ (253,259) size=207x207 | Eyes detected: 0
2026-04-24 19:40:46,246 [INFO] Frame 00266 | Face @ (255,258) size=205x205 | Eyes detected: 0
2026-04-24 19:40:46,291 [INFO] Frame 00267 | Face @ (255,258) size=205x205 | Eyes detected: 0
2026-04-24 19:40:46,340 [INFO] Frame 00268 | Face @ (255,258) size=206x206 | Eyes detected: 0
2026-04-24 19:40:46,369 [INFO] Frame 00269 | Face @ (255,258) size=206x206 | Eyes detected: 0
2026-04-24 19:40:46,424 [INFO] Frame 00270 | Face @ (253,257) size=209x209 | Eyes detected: 0
2026-04-24 19:40:46,460 [INFO] Frame 00271 | Face @ (253,257) size=209x209 | Eyes detected: 0
2026-04-24 19:40:46,516 [INFO] Frame 00272 | Face @ (253,257) size=207x207 | Eyes detected: 0
